Abstract ID,Type,Category,Title,Country,Presenting,Status
20250350,digital poster,Lung (including other thoracic tumors),Prognostic Value of EDRIC in Stage III Unresectable NSCLC Treated with Definitive CRT-IO,China,jianzhong cao ,Submitted
20250351,oral presentation,GU,Impact of posterior PTV of Radical Prostate Cancer Radiotherapy,China,LIN MA ,Submitted
20250352,oral presentation,GU,The dosimetric advantages of IMPT of the full coverage radiation in oligometastatic prostate cancer,China,LIN MA ,Submitted
20250353,digital poster,Other,Impacts of Patients Background Factors on Accesibility to Radiotherapy Services,Indonesia,Teuku Muhammad Khaled ,Submitted
20250354,Any presentation,Lung (including other thoracic tumors),Role of moderately hypofractionated radiotherapy in unresectable NSCLC: A Retrospective Study,China,Zhipeng Li ,Submitted
20250355,Any presentation,Physics,Deep Learning-Based Multimodal Segmentation of the Lumbosacral Plexus Using CT and MR Neurography,China,Deng Ximeng ,Submitted
20250356,oral presentation,Gynecologic malignancy,A Study of ADC with Radio-Immunotherapy as Salvage Treatment for Advanced HER2-Expressing Tumors,China,Meiling Xu ,Submitted
20250357,oral presentation,Other,Predicting the Efficacy of PRaG Therapy Via Dynamic Circulating Immune Profiles,China,Yuehong Kong ,Submitted
20250358,oral presentation,Health economics,Spatial Multivariate Logit Model for Radiotherapy Utilization in Indonesia,Indonesia,Gregorius Ben Prajogi ,Submitted
20250359,oral presentation,Palliation,A Clinical Study of T?-1 Combined with PRaG Therapy for Advanced Solid Tumors(PRaG 5.0 study),China,Yuehong Kong ,Submitted
20250360,Any presentation,Hepatobiliary,Analysis of Risk Factors for HBV Reactivation During RT+ICI treatment in HCC,China,Shenshen Chen ,Submitted
20250361,oral presentation,Hepatobiliary,Targeting the Unresectable: Real-World SBRT Outcomes for Hepatocellular Carcinoma in Asia,Singapore,SYADWA BINTI ABDUL SHUKOR ,Submitted
20250362,Any presentation,Hepatobiliary,Analysis of Risk Factors for HBV Reactivation During RT+ICI treatment in HCC,China,Shenshen Chen ,Submitted
20250363,Any presentation,Lung (including other thoracic tumors),The NLR as a prognostic factor for moderately hypofractionated radiotherapy in unresectable NSCLC,China,Zhipeng Li ,Submitted
20250364,Any presentation,Head and Neck,“STUDY ON PREVALENCE AND CLINICOPATHOLOGICAL CORRELATION OF HPV IN HEAD AND NECK CANCER PATIENT”,India,RANU CHOURASIA ,Submitted
20250365,Any presentation,Gynecologic malignancy,Definitive Chemoradiation with Image-Guided Brachytherapy for Cervical Cancer: Nepalese Cohort Data,Nepal,Ranjana Karmacharya Badgami ,Submitted
20250366,Any presentation,Head and Neck,Quality of Life in Nasopharyngeal Cancer Prior Radiotherapy in Tertiary Referral Hospital,Indonesia,Devina Adella ,Submitted
20250367,oral presentation,Lung (including other thoracic tumors),Ginsenoside Rg5 alleviates radiation-induced lung fibrosis by enhancing  macrophage efferocytosis,China,Hansong Bai ,Submitted
20250368,Any presentation,Gynecologic malignancy,Definitive Chemoradiation with Image-Guided Brachytherapy for Cervical Cancer: Nepalese Cohort Data,Nepal,Ranjana Karmacharya Badgami ,Submitted
