Abstract ID,Type,Category,Title,Country,Presenting,Status
20250126,Any presentation,GU,Prospective Cohort Study on Bone Marrow Protection in Prostate Cancer Radiotherapy,China,huan zhang ,Submitted
20250127,oral presentation,Head and Neck,Timing of Adjuvant Radiotherapy in Head and Neck Cancer: A Safe Option in Resource-Limited Settings,Bangladesh,Nowshin Taslima Hossain ,Submitted
20250129,Any presentation,Head and Neck,A Recurrent Case of Ocular Surface Squamous Neoplasia Treated with Electron Beam Radiotherapy Alone,Bangladesh,Afsana Sharmin Anika ,Submitted
20250131,Any presentation,Breast,Cardiotoxicity detected by CMR after hypofractionated RT with or without active breath control,China,Xinyu Lv ,Submitted
20250132,oral presentation,"Upper GI (i.e., esophagus and stomach)",A Multi-Modal-Based Predictive Model for Radiation-Induced Cardiac Toxicity in Esophageal Cancer,China,Tianlu Tang ,Submitted
20250133,Any presentation,Breast,Hybrid 3DCRT-pVMAT Breast RT Planning: Efficiency Insights from a Tertiary Hospital in Bangladesh,Bangladesh,Hasnina Akter ,Submitted
20250134,digital poster,Lung (including other thoracic tumors),Preoperative splenic area as a prognostic biomarker of early-stage non-small cell lung cancer,China,Mengmei liu ,Submitted
20250135,oral presentation,Radiobiology,Biomimetic CD47 Coated Nanoparticles Enhance Spleen Radioprotection in Liver Cancer Radiotherapy,China,shigao Huang ,Submitted
20250136,digital poster,Physics,VMAT positioning errors evaluation from CBCT VS reference images at thoracic region,Thailand,Ms.Panratchanee Ruangthong ,Submitted
20250137,Any presentation,Lung (including other thoracic tumors),Prophylactic Cranial Irradiation versus MRI Surveillance in Limited-Stage Small Cell Lung Cancer,China,Jiahui Shan ,Submitted
20250138,Any presentation,Lung (including other thoracic tumors),Stereotactic Body Radiotherapy for Early-Stage NSCLC,China,Jiayu Yu ,Submitted
20250139,digital poster,Palliation,Efficacy and safety of spatially fractionated radiotherapy patients with metastatic malignant tumors,China,Chen Lining ,Submitted
20250140,oral presentation,Hepatobiliary,Liver SBRT with intrafraction tracking and gating by Comprehensive Motion Management with MR-Linac,Italy,MICHELE RIGO ,Submitted
20250141,oral presentation,"Upper GI (i.e., esophagus and stomach)","MR-guided adapted SBRT on pancreas with margin reduction, dose escalation and tracking and gating",Italy,MICHELE RIGO ,Submitted
20250142,oral presentation,Radiobiology,WEE1 combined with radiotherapy affects the regulation of tumor microe,China,jing hu ,Submitted
20250143,oral presentation,Radiobiology,WEE1 combined with radiotherapy affects the regulation of tumor microenvironment,China,jing hu ,Submitted
20250144,oral presentation,Gynecologic malignancy,A Local-Global Integration Network for Enhancing CBCT Quality in Cervical Cancer Radiotherapy,China,hua yang ,Submitted
20250145,Any presentation,Lower GI,Enhancement of radiotherapy sensitivity of colorectal cancer cells by LPCAT1,China,ChenYiying ,Submitted
20250146,Any presentation,Gynecologic malignancy,The Study of a Novel Free-Assembled Interstitial Template for Cervical Cancer Brachytherapy,China,Ranxi Liang ,Submitted
20250147,oral presentation,Breast,Beyond the Triple Negative Label : Androgen Receptor as a Beacon for Stratification of TNBC Patients,India,Saarthak Miglani ,Submitted
20250149,oral presentation,Lung (including other thoracic tumors),Double AI (Artificial Intelligence) to improve the diagnostic accuracy for pulmonary nodules,China,Guangying Zhu ,Submitted
20250150,Any presentation,Lower GI,Tumor-neuron crosstalk fosters immunosuppressive microenvironment and colorectal radioresistance,China,Yingjie Lai ,Submitted
20250151,oral presentation,Hepatobiliary,The efficacy of  multimodal radiotherapy into second-line treatment for advanced cholangiocarcinoma,China,Zhi-Ping Li ,Submitted
20250152,oral presentation,Hepatobiliary,The efficacy of multimodal radiotherapy into Subsequent-line treatment for advanced liver cancer,China,Zhi-Ping Li ,Submitted
20250153,oral presentation,Hepatobiliary,The efficacy of multimodal radiotherapy into second-line treatment for advanced cholangiocarcinoma,China,Zhi-Ping Li ,Submitted
20250154,Any presentation,GU,PROSTATE SBRT SANS FIDUCIALS - EVALUATION OF GEOMETRIC DISPLACEMENT,Malaysia,Sandya Subramaniam ,Submitted
20250155,Any presentation,Central nervous system,Short-term Outcomes of SIMT-VMAT SRT with Dose Reduction for Minute Brain Metastases,Japan,Kentaro Nishioka ,Submitted
20250157,oral presentation,"Upper GI (i.e., esophagus and stomach)",I-125 Stents vs Traditional SES in Elderly Malignant Esophageal Obstruction,China,Li peishun ,Submitted
20250158,oral presentation,"Upper GI (i.e., esophagus and stomach)",I-125 Stents vs Traditional SES in Elderly Malignant Esophageal Obstruction,China,Li peishun ,Submitted
20250160,oral presentation,Head and Neck,Boron neutron capture therapy for head and neck cancer: Four-year clinical results,Japan,Satoshi TAKENO ,Submitted
20250161,oral presentation,Breast,Surface Dose Comparison of Virtual and Physical Bolus in Post-Mastectomy Chest Wall Irradiation,India,Dr. Rajeev Dahiwal ,Submitted
20250162,Any presentation,Other,Efficacy & safety of trastuzumab with CAPOX in the treatment of HER2 +ve advanced gastric cancer,Bangladesh,Ishtiaq Ur Rahim ,Submitted
20250163,digital poster,Lung (including other thoracic tumors),X-ray Related HACE1 Suppression Drives Metastatic Progression through Cytoskeletal Remodeling,China,Hao Huang ,Submitted
20250164,Any presentation,Head and Neck,Dosimetric Advantage of LRT for advanced bulky head and neck cancer Using a Novel X/?-Ray Technique,China,Wang Zhongfei ,Submitted
20250165,Any presentation,Physics,First Demonstration of the Commissioning of a New CT-Integrated Linear Accelerator: uLinac HalosTx,China,Wang Zhongfei ,Submitted
20250167,Any presentation,Other,Improving Oral Hygiene practices in Oral Cancer Patients undergoing Chemoradiotherapy-EQuIP project,India,Sowmiya Sampathrajan ,Submitted
20250168,Any presentation,Physics,Proton minibeam radiotherapy: a review,China,feng yang ,Submitted
20250169,Any presentation,Sarcoma,Feasibility study of functional magnetic resonance imaging-based biologically guided lattice  SFRT,China,Ke Yuan ,Submitted
20250170,Any presentation,Gynecologic malignancy,Acute toxicity of parametrial SIB in cervical cancer treated with 2D brachytherapy,Thailand,Aniwat Berpan ,Submitted
20250171,Any presentation,Head and Neck,Pattern of locoregional recurrence in carcinoma of the nasal cavity and paranasal sinuses,Thailand,Aniwat Berpan ,Submitted
20250172,Any presentation,Head and Neck,MedNext-Insight Model: Automated Metabolic Tumor Volume Delineation on CT & Prognostic Value in NPC,China,Guan-Qun Zhou ,Submitted
20250173,Any presentation,Head and Neck,Development and prospective validation of a fully AI-driven online adaptive radiotherapy workflow,China,Guan-Qun Zhou ,Submitted
20250174,digital poster,Other,Comparative study of the imaging quality and dose in  CBCT for proton versus photon  systems,China,Yuanyuan Wang ,Submitted
20250175,oral presentation,GU,Plan of the Day CBCT-Guided Adaptive Radiotherapy Improves Bladder Cancer Targeting and Safety,Pakistan,Samina Siddique ,Submitted
20250176,oral presentation,Physics,Evaluation of Tracking Accuracy of Dynamic Tumor-Tracking Irradiation with Dynamic Swing Arc,Japan,Yuya Nagake ,Submitted
20250177,oral presentation,Physics,Free-Breathing VMAT/IMRT vs DIBH 3D-CRT for Left-Breast Cancer: A Solution for Developing Nations,Bangladesh,Md. Jobairul Islam ,Submitted
20250178,Any presentation,Physics,"Dosimetric Impact in Rectal Cancer: Comparing 3DCRT, IMRT & VMAT for Preoperative Short-Course RT",Bangladesh,Md. Jobairul Islam ,Submitted
20250179,Any presentation,Physics,Assessment of an MRI-Only Workflow in Pelvic Radiotherapy: Feasibility and Practical Implementation,China,XIN XIN ,Submitted
20250180,digital poster,Head and Neck,The Effect and Mechanism of Taizi Yangrong Decoction on Radiotherapy for Head and Neck Cancer,China,JIN YONGLONG ,Submitted
20250181,Any presentation,Physics,Dosimetric Advantages of Lattice SFRT in Massive Liver Cancer with Novel Multi-modality Platform,China,Jie Duan ,Submitted
20250182,oral presentation,GU,Adjuvant Radiotherapy Combined with Immunotherapy in Patients with Upper Tract Urothelial Carcinoma,China,Xiaoying Li ,Submitted
20250183,oral presentation,Palliation,Patterns of Care in Palliative Radiotherapy: Insights from a Multicentre Survey in RCA region,Japan,Masaru Wakatsuki ,Submitted
20250184,oral presentation,Breast,Analysis of advantages of intraoperative radiotherapy for early breast cancer,China,HAONAN RAN ,Submitted
20250185,oral presentation,Lung (including other thoracic tumors),Impact of Low-Dose Zones on Symptomatic Pneumonitis after radioimmunotherapy for Lung Cancer,China,Xiaonan Zhang ,Submitted
20250186,oral presentation,Lung (including other thoracic tumors),Dosimetric Parameters of the Heart in Lung Cancer Patients After Radiotherapy: A Systematic Review,China,Jun Wang ,Submitted
20250187,oral presentation,Lung (including other thoracic tumors),Combination of RT or Anti-Angiogenic Therapy with Chemoimmunotherapy in ES-SCLC,China,Jun Wang ,Submitted
20250188,Any presentation,Head and Neck,DevelopmenT of CT-based dose-radiomics nomogram for radiation induced hypothyroidism in NPC,China,jian zang ,Submitted
20250189,digital poster,Other,Low Dose Radiation combined with Creatine Overcomes Diabetes-Induced Suppression of Osteogenesis,China,Xiang Geng ,Submitted
20250191,oral presentation,Nurse care,Research on the Construction of RONP Core Competence Evaluation Index System,China,Lingyu Hou ,Submitted
20250192,oral presentation,Other,Effects of day-night radiotherapy on treatment accuracy: a self-controlled nonrandomized study,China,Fei Bai ,Submitted
20250193,oral presentation,Head and Neck,Impact of hair changes in patients during precision radiotherapy for glioma: a real-world study,China,Yang Fating ,Submitted
20250194,oral presentation,Breast,Impact of SGRT on Setup Errors and Patient Compliance in Radiotherapy: A Prospective,China,Zhang Fengbin ,Submitted
20250195,digital poster,Radiobiology,Intratympanic Dexamethasone Protects Middle Ear from Radiation Injury,Korea South,Sup Kim ,Submitted
20250196,digital poster,Hematologic malignancy,Initial Experience of Bridging Radiotherapy Prior to CAR-T Cell Therapy for Malignant Lymphoma,Japan,Hiroki Ochi ,Submitted
20250197,Any presentation,Central nervous system,Cyberknife Radiosurgery for Vestibular Schwannoma:Dosimetric study and clinical response evaluation.,India,BHAVYA PATNEEDI ,Submitted
20250198,Any presentation,Breast,Dosimetric evaluation of DIBH VMAT technique in left sided breast cancer after mastectomy.,India,BHAVYA PATNEEDI ,Submitted
20250199,oral presentation,Physics,Efficacy and Safety of combining 3D-CRT and IMRT in Whole-Brain Radiation Therapy,Vietnam,Nguyen Huu Nghia ,Submitted
20250200,digital poster,Other,NEPHROTOXICITY IN PATIENTS RECEIVING CISPLATIN BASED CHEMOTHERAPY,Nepal,Lokendra Kunwar ,Submitted
20250201,oral presentation,Physics,Compartment model predicting dynamic radiation-induced lymphocyte depletion in NSCLC radiotherapy,Japan,Takahiro Kanehira ,Submitted
20250202,digital poster,Lung (including other thoracic tumors),DEVELOPMENT OF DUAL-LABELED PEPTIDE FOR MULTIMODAL IMAGING OF EGFR WITH T790M MUTATION,Korea South,Dae-Weung Kim ,Submitted
20250203,oral presentation,Nurse care,Radiation Therapy Specialty Nursing Clinic for Radiation Dermatitis in Breast Cancer Patients,China,Linlin Lu ,Submitted
20250204,oral presentation,"Upper GI (i.e., esophagus and stomach)",Analysis of  Nomogram Based on Prognostic Factors in Esophagogastric Junction Adenocarcinoma,China,Jun Wang ,Submitted
20250205,oral presentation,Lung (including other thoracic tumors),Mechanisms of HER2-Targeted mRNA-LNP Vaccine Combined with Radiotherapy in Lung Cancer Mouse Models,China,Jun Wang ,Submitted
20250206,oral presentation,"Upper GI (i.e., esophagus and stomach)",Comparison of dosimetry between different radiotherapy techniques in cervical esophageal carcinoma,China,Jun Wang ,Submitted
20250207,oral presentation,Lung (including other thoracic tumors),Does Thoracic Radiotherapy Combined with Immune Checkpoint Inhibitors Increase Cardiac Toxicity?,China,Jun Wang ,Submitted
20250208,oral presentation,Head and Neck,Dosimetric advantages of novel oral immobilization device compared to mouthpiece in H&N cancer RT,Korea South,Sangyub Kim ,Submitted
20250209,oral presentation,"Upper GI (i.e., esophagus and stomach)",Radiotherapy combined with systemic therapy versus systemic therapy alone for esophageal cancer,China,Jun Wang ,Submitted
20250210,oral presentation,"Upper GI (i.e., esophagus and stomach)",Radiotherapy combined with chemoimmunotherapy versus chemoimmunotherapy alone for oligorecurrent EC,China,Jun Wang ,Submitted
20250211,oral presentation,Radiobiology,Cardiomyocytes upregulated  PD-L1 expression to alleviate cardiac injury induced by  IO and RT,China,Jun Wang ,Submitted
20250212,digital poster,Gynecologic malignancy,"Clinicopathological Features&Outcomes, Neuroendocrine Carcinoma Cervix:Single Institution Experience",India,Avradeep Datta ,Submitted
20250213,digital poster,Radiobiology,Screening key species of the gut microbiome in prostate cancer after radiotherapy,Korea South,Sunmi Jo ,Submitted
20250214,Any presentation,Health economics,Cost-Utility Analysis of Temozolomide with Radiotherapy for Glioblastoma in Thailand,Thailand,Ponnatcha Pakulpongsa ,Submitted
20250216,oral presentation,Health economics,Constructing the scale to measure financial toxicity in cancer patients in LMICs,Nepal,Shweta Baral ,Submitted
20250217,Any presentation,Radiobiology,The durably antitumor effect by FLASH radiotherapy combined with spatially fractionated radiotherapy,China,Jie Zhou ,Submitted
20250218,digital poster,Gynecologic malignancy,Two-Year Survival Outcomes Following CCRT and IGBT for Locally Advanced Cervical Cancer at HKL,Malaysia,Alagu Manthiram Ramasamy ,Submitted
20250219,Any presentation,"Upper GI (i.e., esophagus and stomach)",Survival Impact of Adjuvant Immunotherapy After Neoadjuvant Chemoimmunotherapy in ESCC,China,Hong Ge ,Submitted
20250222,Any presentation,Gynecologic malignancy,Long-term Outcomes of Definitive Radiotherapy for Endometrial Cancer,Japan,Shigeyuki Tani ,Submitted
20250223,Any presentation,Radiobiology,Mechanism of tRNA-derived fragments mediated cuproptosis in tumor radioresistance,China,Wu NING ,Submitted
20250224,oral presentation,Lung (including other thoracic tumors),The effect of EDRIC on the prognosis of limited-stage small cell lung cancer,China,Jianzhong ,Submitted
20250225,oral presentation,Lung (including other thoracic tumors),Effect of SIB-IMRT on the prognosis of  LS-SCLC : A long-term follow-up study,China,Jianzhong ,Submitted
20250226,Any presentation,Hepatobiliary,SBRT in Liver Metastasis Lesion Adjacent to Hepatic Vasculature,India,Dr Arpit Gite ,Submitted
20250228,oral presentation,Gynecologic malignancy,Free-assembled template for interstitial brachytherapy of cervical cancer: a dosimetric study,China,Jie Zhu ,Submitted
20250229,Any presentation,Sarcoma,Decade-Long Outcomes of Extracorporeal Irradiation in Bone Tumors: Survival & local  Recurrence,India,Dr Jaswanthi Akkpatti Ramachandra Reddy  ,Submitted
20250230,oral presentation,Gynecologic malignancy,Hypoxia Modulation by Metformin During Chemoradiotherapy in Cervical Cancer: A Phase II Trial,China,KANG ,Submitted
20250233,oral presentation,"Upper GI (i.e., esophagus and stomach)",Muscle Mass Loss During Neoadjuvant Chemoradiotherapy in Esophageal Squamous Cell Carcinoma,China,Jie Zhu ,Submitted
20250234,digital poster,Breast,BREAST CANCER RADIOTHERAPY VARIATION IN PRACTICE AFTER THE INTRODUCTION OF THE FAST-FORWARD PROTOCOL,Malaysia,MOHD FAIRUZ JAYAH ,Submitted
20250235,digital poster,Breast,Accuracy of a Chinese-Made Optical Surface Monitoring System in Breast Cancer Radiotherapy,China,Bo Li ,Reviewed
20250237,digital poster,Gynecologic malignancy,Sarcopenia as a prognostic factor in patients with stage III cervical cancer receiving radiotherapy,Indonesia,Widyastuti ,Submitted
20250238,oral presentation,Lung (including other thoracic tumors),Survival Outcomes of ES–NSCLC with Interlobar Pleural Involvement Undergoing Surgery versus SBRT,China,YUE WANG ,Submitted
20250239,Any presentation,Breast,Analysis of setup error for radiotherapy after breast cancer prosthesis implantation,China,li jie ,Submitted
20250240,oral presentation,Gynecologic malignancy,Feasibility of Planning “Plan of the Day” In Cervical Cancer Patients Treated on MV-CBCT based LINAC,India,Shreyasee Karmakar ,Submitted
20250244,Any presentation,Breast,Psychological distress  in breast cancer patients during radiotherapy after surgery,China,Bo Lyu ,Submitted
20250245,Any presentation,Breast,Psychological  influencing factors in breast cancer patients during radiotherapy after surgery,China,Bo Lyu ,Submitted
20250246,digital poster,Head and Neck,Plasma Metabolic Profiles-Based Prediction of Oral Mucositis in Nasopharyngeal Carcinoma,China,Jian Guan ,Submitted
20250248,oral presentation,Breast,IMRT/VMAT-Based Hypofractionated Breast Radiotherapy in a New Indian Oncology Center,India,Dr Anbarasi Kumaresan ,Submitted
20250249,oral presentation,Central nervous system,Glioma Outcomes Using IMRT/VMAT and CBCT in a Newly Established Indian Oncology Center,India,Anbarasi Kumaresan ,Submitted
20250250,oral presentation,Breast,Cardiopulmonary Sparing with ABC-Guided DIBH in Left-Sided Breast Radiotherapy Using IMRT/VMAT,India,Anbarasi Kumaresan ,Submitted
20250251,Any presentation,"Upper GI (i.e., esophagus and stomach)",Cardiopulmonary Dosimetry and Safety of VMAT in Locally Advanced Thoracic and EGJ Cancer,Japan,Tsuyoshi Katsuta ,Submitted
20250252,oral presentation,Other,Breaking Bad News in Oncology: Strategies for Effective Communication,Nepal,Bibek Acharya ,Submitted
20250253,Any presentation,"Upper GI (i.e., esophagus and stomach)",A Fully Automated AI System for Refining GTV Delineation in Esophageal Cancer Radiotherapy,China,Lecheng Jia ,Submitted
20250254,Any presentation,"Upper GI (i.e., esophagus and stomach)",A Fully Automated AI System for Refining GTV Delineation in Esophageal Cancer Radiotherapy,China,Lecheng Jia ,Submitted
20250255,oral presentation,Head and Neck,Efficacy of Glutamine Combined with Thalidomide for Radiation-Induced Oral Mucositis in Oral Cancer,China,Jingyi Liu ,Submitted
20250257,Any presentation,Sarcoma,Preoperative hypofractionated radiotherapy for advanced soft tissue sarcoma of the limbs and trunk,China,Lichun Wei ,Submitted
20250258,Any presentation,Pediatric,"Radiotherapy Use in Pediatric Tumors: Post COVID-19 Analysis at a Government Hospital, Philippines",Philippines,Joseph D. Causapin ,Submitted
20250259,oral presentation,Breast,DOSIMETRIC COMPARISON BETWEEN ACTIVE BREATH CONTROL AND FREE BREATHING IN CARCINOMA LEFT BREAST,India,NOOPUR SHARMA ,Submitted
20250261,oral presentation,Gynecologic malignancy,5-Year outcome of hypo-fractionated chemoradiotherapy and brachytherapy for carcinoma cervix,India,Dr Ajeet Kumar Gandhi ,Submitted
20250262,Any presentation,Hepatobiliary,Nimotuzumab combined with CCRT in the treatment of unresectable pancreatic cancer: a PSM analysis,China,Wei zhou ,Submitted
20250263,oral presentation,Radiobiology,CCR8 Blockade Breaks Radiotherapy Resistance by Reprogramming Tregs in HCC,China,Huanliang Chen ,Submitted
20250264,oral presentation,Gynecologic malignancy,Annual Recurrence Incidence in Early-Stage Endometrial Cancer Under FIGO 2023 Staging System,China,Lingxia Xin ,Submitted
20250265,digital poster,"Upper GI (i.e., esophagus and stomach)",Prognostic Model for Esophageal Cancer: Combining Radiomics and Dosiomics for Survival Prediction,China,Yufen Liu ,Submitted
20250266,digital poster,Central nervous system,Recurrence patterns after radiotherapy for glioblastoma,Japan,Ryotaro Yasui ,Submitted
20250267,Any presentation,GU,AKR1C3: A Novel Target for Radiotherapy Combined with Immunotherapy in Prostate Cancer,China,Feng Lyu ,Submitted
20250268,oral presentation,"Upper GI (i.e., esophagus and stomach)",A Cross-sectional Study of Long-Term Health-Related Quality of Life in Esophageal Cancer Surviors,China,Qingsong Pang ,Submitted
20250269,Any presentation,Physics,The Dosimetric Feasibility of Lattice Radiotherapy for cervical cancer with a Novel  Approach,China,WANG WEI   ,Submitted
20250270,oral presentation,Breast,A retrospective Analysis of Risk Factors for Internal Mammary Lymph Node Metastasis in Breast Cancer,China,Jing Wang ,Submitted
20250271,Any presentation,Head and Neck,Bayesian Deep Learning for Uncertainty-Aware Radiotherapy Dose Prediction in Head and Neck Cancer,China,Liting Chen ,Submitted
20250272,digital poster,Head and Neck,Mandibular MRI Abnormalities after Head and Neck Radiotherapy: Timing and Dosimetric Risk,China,Xiaopeng Zhu ,Submitted
20250273,oral presentation,Radiobiology,Pan-cancer epigenetic CRISPR/Cas9 screening identifies Glyr1 as an radioresistance target,China,Zhao Yue ,Submitted
20250274,Any presentation,Head and Neck,"Iron Metabolism in NPC: Multi-Omics Insights into Tumor Progression, Immunity, and Radiotherapy",China,Yue Gao ,Submitted
20250275,Any presentation,Central nervous system,Impact of Lesion Burden and Treatment Strategy on Outcomes in GK Radiosurgery for Brain Metastasis,Malaysia,MAK KAR ZIN ,Submitted
20250276,Any presentation,Physics,X-Ray and ?-Ray Integration in SFRT: Enhancing Dose Delivery for Large-Volume NSCLC,China,Yue Gao ,Submitted
20250277,Any presentation,Lung (including other thoracic tumors),CLK1  Enhances the Sensitivity of Non-Small Cell Lung Cancer to Radiotherapy and Immunotherapy,China,Jia Ma ,Submitted
20250278,Any presentation,Head and Neck,Ten-year outcomes of the first batch of non-metastatic nasopharyngeal carcinoma receiving IMRT,China,Fen Xue ,Submitted
20250279,digital poster,Other,MRI-based PSM Prediction Model for Apical Prostate Tumors,China,Yize Zhao ,Submitted
20250280,digital poster,Head and Neck,Head and neck radiotherapy in elderly patients: Hospital Kuala Lumpur experience,Malaysia,NAJIHAH ABU BAKAR ,Submitted
20250282,Any presentation,"Upper GI (i.e., esophagus and stomach)",Auto-recognition of Post-radiotherapy Tumor Regions in Esophageal Cancer Based on Prior Information,United States,Ziqi An ,Submitted
20250283,Any presentation,Head and Neck,Liquid Biopsy with Pretreatment ctHPV DNA in Chinese HPV-Associated Oropharyngeal Cancer,China,Lin Zhu ,Submitted
20250284,Any presentation,Breast,Implementation of Ultra-Hypofractionated Radiotherapy for Early-Stage Breast Cancer in Bangladesh,Bangladesh,Aditi Paul Chowdhury ,Submitted
20250285,Any presentation,Lower GI,Comparative Accuracy of Measurement Modalities for Anorectal Distance in Low Rectal Cancer,China,Zhiyuan Zhang ,Submitted
20250286,Any presentation,Lower GI,Torch-R: Hypofractionated Immunochemoradiotherapy for Locally Recurrent Rectal Cancer (Phase II)?,China,Zhiyuan Zhang ,Submitted
20250287,Any presentation,Hematologic malignancy,Outcomes and Toxicities in Acute Leukemia with Tomotherapy TBI: A 3-Year Retrospective Review,Malaysia,Kar Zin Mak ,Submitted
20250288,Any presentation,Head and Neck,Correlation of Intermediate Endpoints With OS in Advanced HNSCC Treated With ICIs: A Meta-Analysis,China,Lin Li ,Submitted
20250289,oral presentation,GU,Efficacy of All-Site Radiotherapy in Combination with Systemic Therapy in High Gleason Score mHSPC,China,Huizhu Chen ,Submitted
20250290,oral presentation,GU,Efficacy and safety of All-site RT and SOC with or without Docetaxel for High Gleason Score mHSPC,China,Huizhu Chen ,Submitted
20250291,oral presentation,Gynecologic malignancy,What the Blood Speaks : Squamous Cell Carcinoma Antigen as a Crystal Ball in Cervical Cancer,India,Saarthak Miglani ,Submitted
20250292,Any presentation,Central nervous system,Single-cell RNA sequencing reveals immune microenvironment after split radioimmunotherapy in glioma,China,Zihan Zhou ,Submitted
20250293,digital poster,Head and Neck,SBRT plus Chemoimmunotherapy as Neoadjuvant therapy for Locally Advanced HNSCC,China,liexi xu ,Submitted
20250294,Any presentation,"Upper GI (i.e., esophagus and stomach)",CT-TIME radiomic signature refines recurrence  risk and guides immunotherapy in esophageal cancer,China,Jie Gong ,Submitted
20250295,oral presentation,"Upper GI (i.e., esophagus and stomach)",Assessing Adaptive Proton Beam Therapy for Pancreatic Cancer Based on Daily CT-based Dose Evaluation,Japan,Kaixin Du ,Submitted
20250296,oral presentation,Breast,Efficacy of UNICART for Recurrent/Metastatic Breast Cancer: A Retrospective Analysis of Three Cases,China,XIAOLIANG WU ,Submitted
20250297,digital poster,Head and Neck,Predicting Prolonged Radiotherapy in Head and Neck Cancer Using Clinical and Nutritional Factors,Thailand,Piyapasara Toapichattrakul ,Submitted
20250298,Any presentation,Gynecologic malignancy,Pre-treatment Nodal Status Identifies ICI Candidates in Mature IGBT-Treated Cervical Cancer,Japan,Ken Ando ,Submitted
20250299,digital poster,GU,Efficacy and Safety of Hyperbaric Oxygen Therapy as Initial Treatment for Radiation-Induced Cystitis,China,Le Mao ,Submitted
20250300,Any presentation,GU,Study on Molecular Signatures in High-Gleason-Score Prostate Cancer Based on Multi-Omics Databases,China,Le Mao ,Submitted
20250301,oral presentation,Physics,Development and Feasibility Analysis of Spatially Segmented Adaptive Dynamic Radiotherapy,China,Sixue Dong ,Submitted
20250302,oral presentation,Breast,Patient Stratification for Optimizing DIBH Radiotherapy Resource Allocation in Breast Cancer,China,Sixue Dong ,Submitted
20250303,oral presentation,Physics,4? SBRT: dosimetric evaluation of VMAT configurations in for recurrent head and neck tumors,China,Sixue Dong ,Submitted
20250304,Any presentation,GU,PSMA PET-guided RT for Oligopersistent mPC: Ambispective cohort Study,China,Qing-Hua Peng ,Submitted
20250305,oral presentation,Head and Neck,Multi-omics-based prognostic prediction for locally advanced hypopharyngeal cancer,China,Sixue Dong ,Submitted
